Epoch 1. Batch 0-19. Loss: 0.798586, Train acc 0.118750
Epoch 1. Batch 20-39. Loss: 0.398617, Train acc 0.493750
Epoch 1. Batch 40-59. Loss: 0.226446, Train acc 0.776563
Epoch 1. Batch 60-79. Loss: 0.178251, Train acc 0.851562
Epoch 1. Batch 80-99. Loss: 0.134585, Train acc 0.873437
Epoch 1. Batch 100-119. Loss: 0.123740, Train acc 0.893750
Epoch 1. Batch 120-139. Loss: 0.091987, Train acc 0.928125
Epoch 1. Batch 140-159. Loss: 0.096620, Train acc 0.918750
Epoch 1. Batch 160-179. Loss: 0.079424, Train acc 0.925000
Epoch 1. Batch 180-199. Loss: 0.078103, Train acc 0.934375
Epoch 1. Batch 200-219. Loss: 0.073177, Train acc 0.937500
Epoch 1. Batch 220-239. Loss: 0.081349, Train acc 0.939063
Epoch 1. Batch 240-259. Loss: 0.075031, Train acc 0.928125
Epoch 1. Batch 260-279. Loss: 0.071329, Train acc 0.940625
Epoch 1. Batch 280-299. Loss: 0.068918, Train acc 0.956250
Epoch 1. Batch 300-319. Loss: 0.061374, Train acc 0.948438
Epoch 1. Batch 320-339. Loss: 0.052833, Train acc 0.967187
Epoch 1. Batch 340-359. Loss: 0.052739, Train acc 0.957812
Epoch 1. Batch 360-379. Loss: 0.066591, Train acc 0.946875
Epoch 1. Batch 380-399. Loss: 0.074640, Train acc 0.939063
Epoch 1. Batch 400-419. Loss: 0.056479, Train acc 0.957812
Epoch 1. Batch 420-439. Loss: 0.061087, Train acc 0.948438
Epoch 1. Batch 440-459. Loss: 0.050995, Train acc 0.968750
Epoch 1. Batch 460-479. Loss: 0.054479, Train acc 0.954688
Epoch 1. Batch 480-499. Loss: 0.052279, Train acc 0.964063
Epoch 1. Batch 500-519. Loss: 0.052180, Train acc 0.962500
Epoch 1. Batch 520-539. Loss: 0.051166, Train acc 0.965625
Epoch 1. Batch 540-559. Loss: 0.048279, Train acc 0.964063
Epoch 1. Batch 560-579. Loss: 0.049267, Train acc 0.962500
Epoch 1. Batch 580-599. Loss: 0.051802, Train acc 0.954688
Epoch 1. Batch 600-619. Loss: 0.039179, Train acc 0.973437
Epoch 1. Batch 620-639. Loss: 0.045460, Train acc 0.967187
Epoch 1. Batch 640-659. Loss: 0.059049, Train acc 0.950000
Epoch 1. Batch 660-679. Loss: 0.041384, Train acc 0.981250
Epoch 1. Batch 680-699. Loss: 0.051092, Train acc 0.962500
Epoch 1. Batch 700-719. Loss: 0.044629, Train acc 0.965625
Epoch 1. Batch 720-739. Loss: 0.047148, Train acc 0.967187
Epoch 1. Batch 740-759. Loss: 0.041253, Train acc 0.976562
Epoch 1. Batch 760-779. Loss: 0.047622, Train acc 0.970313
Epoch 1. Batch 780-799. Loss: 0.051983, Train acc 0.945312
Epoch 1. Batch 800-819. Loss: 0.049503, Train acc 0.956250
Epoch 1. Batch 820-839. Loss: 0.051600, Train acc 0.954688
Epoch 1. Batch 840-859. Loss: 0.043953, Train acc 0.967187
Epoch 1. Batch 860-879. Loss: 0.049309, Train acc 0.960938
Epoch 1. Batch 880-899. Loss: 0.040329, Train acc 0.967187
Epoch 1. Batch 900-919. Loss: 0.050926, Train acc 0.967187
Epoch 1. Batch 920-939. Loss: 0.045483, Train acc 0.973437
Epoch 1. Batch 940-959. Loss: 0.048882, Train acc 0.959375
Epoch 1. Batch 960-979. Loss: 0.044566, Train acc 0.965625
Epoch 1. Batch 980-999. Loss: 0.044246, Train acc 0.968750
Epoch 1. Batch 1000-1019. Loss: 0.041141, Train acc 0.971875
Epoch 1. Batch 1020-1039. Loss: 0.052559, Train acc 0.954688
Epoch 1. Batch 1040-1059. Loss: 0.043490, Train acc 0.973437
Epoch 1. Batch 1060-1079. Loss: 0.043110, Train acc 0.975000
Epoch 1. Batch 1080-1099. Loss: 0.045865, Train acc 0.964063
Epoch 1. Batch 1100-1119. Loss: 0.045527, Train acc 0.960938
Epoch 1. Batch 1120-1139. Loss: 0.045016, Train acc 0.960938
Epoch 1. Batch 1140-1159. Loss: 0.051296, Train acc 0.957812
Epoch 1. Batch 1160-1179. Loss: 0.040963, Train acc 0.970313
Epoch 1. Batch 1180-1199. Loss: 0.035953, Train acc 0.979688
Epoch 1. Batch 1200-1219. Loss: 0.044037, Train acc 0.962500
Epoch 1. Batch 1220-1239. Loss: 0.041100, Train acc 0.959375
Epoch 1. Batch 1240-1259. Loss: 0.036842, Train acc 0.979688
Epoch 1. Batch 1260-1279. Loss: 0.049832, Train acc 0.943750
Epoch 1. Batch 1280-1299. Loss: 0.044736, Train acc 0.964063
Epoch 1. Batch 1300-1319. Loss: 0.036401, Train acc 0.968750
Epoch 1. Batch 1320-1339. Loss: 0.040355, Train acc 0.971875
Epoch 1. Batch 1340-1359. Loss: 0.046022, Train acc 0.959375
Epoch 1. Batch 1360-1379. Loss: 0.039234, Train acc 0.978125
Epoch 1. Batch 1380-1399. Loss: 0.031795, Train acc 0.984375
Epoch 1. Batch 1400-1419. Loss: 0.047151, Train acc 0.959375
Epoch 1. Batch 1420-1439. Loss: 0.049968, Train acc 0.953125
Epoch 1. Batch 1440-1459. Loss: 0.045281, Train acc 0.965625
Epoch 1. Batch 1460-1479. Loss: 0.048713, Train acc 0.962500
Epoch 1. Batch 1480-1499. Loss: 0.046091, Train acc 0.964063
Epoch 1. Batch 1500-1519. Loss: 0.045335, Train acc 0.960938
Epoch 1. Batch 1520-1539. Loss: 0.032498, Train acc 0.981250
Epoch 1. Batch 1540-1559. Loss: 0.048359, Train acc 0.957812
Epoch 1. Batch 1560-1579. Loss: 0.048725, Train acc 0.959375
Epoch 1. Batch 1580-1599. Loss: 0.039609, Train acc 0.971875
Epoch 1. Batch 1600-1619. Loss: 0.046393, Train acc 0.964063
Epoch 1. Batch 1620-1639. Loss: 0.039627, Train acc 0.970313
Epoch 1. Batch 1640-1659. Loss: 0.044031, Train acc 0.968750
Epoch 1. Batch 1660-1679. Loss: 0.047576, Train acc 0.959375
Epoch 1. Batch 1680-1699. Loss: 0.044989, Train acc 0.967187
Epoch 1. Batch 1700-1719. Loss: 0.045070, Train acc 0.965625
